ORGAO;FORNECEDOR;CNPJ;OBJETO;VALOR;MODALIDADE;CONTRATO;DATA_ASSINATURA;VIGENCIA_DIAS;PROCESSO_ADM;LICITACAO;EVENTO;DATA_PUBLICACAO
EDUCAÇÃO;ALIMENTOS DALLAS INDUSTRIA E COMERCIO LTDA;03.938.789/0006-29;Registro de preços para aquisição de alimentos não perecíveis (ITEM A ? Macarrão de sêmola sem ovos curto, ITEM B ? Macarrão de sêmola sem ovos para sopa, ITEM C ? Macarrão integral sem ovos curto e ITEM D ? Macarrão de sêmola com vegetais sem ovo curto);713.925,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;1 TA TC 79 2019;30/11/2020;360;6016.2018/0054979-6;02/SME/2019;EXTRATO DE ADITAMENTO;8/12/2020
PROCURADORIA GERAL DO MUNICIPIO;FULL GESTÃO TOTAL DE SERVIÇOS LTDA;05.454.489/0001-95;Prestação de serviços de controle, operação e fiscalização da portaria dos prédios onde estão instalados a Procuradoria Geral do Município, os Departamentos que a compõem e o Centro de Estudos Jurídicos, bem como, a prestação dos serviços de ascensorista, para o elevador instalado no CEJUR;711.061,56;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;019/PGM/2016;2/10/2020;360;6021.2016/0000160-3;8/PGM/16;EXTRATO DE ADITAMENTO;9/10/2020
SUBPREFEITURA: PINHEIROS;GOCIL Serviços Gerais Ltda;00.146.889/0001-10;Contratação de empresa para a prestação de serviços de limpeza, asseio e conservação predial, desinfecção de caixa d?água, saneamento ambiental (desinsetização e desratização) e copeiragem, com fornecimento de mão de obra, saneantes domissanitários, materiais e equipamentos, nas dependências internas e externas das Unidades da Subprefeitura Pinheiros.;710.998,92;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;11/SP-PI/2015;7/12/2020;360;2015-0.299.957-5;15/SPPI/2015;EXTRATO DE ADITAMENTO;24/12/2020
SUBPREFEITURA: PARELHEIROS;CONSTRUTORA ANASTÁCIO S/A;43.438.001/0001-25;LOCAÇÃO DE EQUIPAMENTOS PESADOS DO TIPO MOTONIVELADORA, PÁ CARREGADEIRA, ESCAVADEIRA HIDRÁULICA E CAMINHÃO BASCULANTE TRUCADO COM OPERADOR E COMBUSTÍVEL EM CONFORMIDADE COM O TERMO DE REFERÊNCIA DESTE EDITAL;710.528,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;002/SUB-PA/2020;17/2/2020;180;6047.2019/0000193-7;09/SUB-PA/2019;EXTRATO DE ADITAMENTO;5/3/2020
EMPRESA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;;32.159.298/0001-73;ATA DE REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE 600 MICROCOMPUTADORES (DESKTOPS);710.490,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;ARP?23.10/20;29/10/2020;360;09.005/20;09.005/20;EXTRATO DE ATA DE REGISTRO DE PREÇO;7/11/2020
EMPRESA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO;KL LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMATI;32.159.298/0001-73;ATA DE REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE 600 MICROCOMPUTADORES (DESKTOPS);710.490,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;CO-04.11/2020;16/11/2020;1460;09.005/20;09.005/20;EXTRATO DE CONTRATO / NOTA DE EMPENHO;25/11/2020
FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA;SEVEN ASSESSORIA E SERVIÇOS ESPECIALIZADOS LTDA ?;11.893.612/0001-77;Contratação de empresa especializada na prestação de serviços vigilância e segurança patrimonial integrada, com a instalação e manutenção de equipamentos de vigilância eletrônica e controle de acesso (lote 01) e prestação de serviços de bombeiro civil (lote 02) para atender as necessidades  da Escola Técnica de Saúde Pública Prof. Makiguti e Centro de Formação Cultural Cidade Tiradentes.;710.318,16;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;07/2016;22/10/2020;360;8110.2016/0000034-7;06/2016;EXTRATO DE ADITAMENTO;14/11/2020
FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA;Seven Assessoria e Serviços Especializados LTDA-ME;11.893.612/0001-77;Contratação de empresa especializada na prestação de serviços vigilância e segurança patrimonial integrada, com a instalação e manutenção de equipamentos de vigilância eletrônica e controle de acesso (lote 01) e prestação de serviços de bombeiro civil (lote 02) para atender as necessidades  da Escola Técnica de Saúde Pública Prof. Makiguti e Centro de Formação Cultural Cidade Tiradentes.;710.318,16;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;07/2016;31/8/2020;360;8110.2016/0000034-7;06/2016;EXTRATO DE ADITAMENTO;4/9/2020
SAÚDE;G4S VANGUARDA SEGURANÇA E VIGILÂNCIA LTDA;47.190.129/0001-73;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA/SEGURANÇA PATRIMONIAL DESARMADA E MONITORAMENTO ELETRÔNICO NAS UNIDADES DAS SUPERVISÕES TÉCNICAS DE SAÚDE DA COORDENADORIA REGIONAL DE SAÚDE SUL;710.185,01;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;002/2019/CRSSul;3/7/2020;360;6018.2018/0039393-2;009/2018-CRS/SUL;EXTRATO DE ADITAMENTO;6/8/2020
SAÚDE;DIGITAL JUNDIAÍ LTDA-ME;04.839.879/0001-10;Prestação de Serviços de Impressão Departamental.;708.480,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;02/2020;12/3/2020;360;6018.2019/0027781-0;47/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;12/5/2020
SAÚDE;G4S VANGUARDA SEGURANÇA E VIGILÂNCIA LTDA;47.190.129/0001-73;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA/SEGURANÇA PATRIMONIAL DESARMADA E MONITORAMENTO ELETRÔNICO NAS UNIDADES DAS SUPERVISÕES TÉCNICAS DE SAÚDE DA COORDENADORIA REGIONAL DE SAÚDE SUL;708.394,13;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;002/2019/CRSSul;22/4/2020;360;6018.2018/0039393-2;009/2018-CRS/SUL;EXTRATO DE ADITAMENTO;5/5/2020
SAÚDE;POLAR FIX INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPIT;02.881.877/0001-64;Registro de preços para o fornecimento de ALGODÃO HIDRÓFILO, ATADURA CREPE E ATADURA GESSADA.;707.629,80;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;061/2020-SMS.G;17/2/2020;365;6018.2019/0003229-0;281/2019-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;4/3/2020
SAÚDE;MULTICOM COMÉRCIO MÚLTIPLO DE ALIMENTOS LTDA;05.656.062/0001-70;Registro de preços para o fornecimento de DIETAS, para Atendimento de Determinações do Poder Judiciário, Ministério Público e Conselhos Tutelares - Ações Judiciais.;706.608,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;398/2020-SMS.G;1/10/2020;365;6018.2019/0050139-7;138/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;28/10/2020
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;ENGENHARIA E COMÉRCIO RIGEL LTDA.;53.640.280/0001-69;REGISTRO DE PREÇOS PARA A PRESTAÇÃO DE SERVIÇOS PARA A READEQUAÇÃO E MANUTENÇÃO DOS PASSEIOS PÚBLICOS ? ?CALÇADAS?;706.449,78;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;105/SMSUB/COGEL/2019;9/4/2020;150;6012.2019/0002667-0;23/SMSUB/COGEL/2019;EXTRATO DE ADITAMENTO;6/5/2020
SERVIÇO FUNERÁRIO;URNAPAC IND E COMERCIO LTDA;65.973.034/0001-08;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE REVESTIMENTO INTERNO, SIMPLES E COMPLETO, PARA URNAS FUNERÁRIAS.;706.035,36;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;46/SFMSP/2020;6/8/2020;180;6410.2018/0002408-1;037/SFMSP/2018;EXTRATO DE CONTRATO / NOTA DE EMPENHO;13/8/2020
SUBPREFEITURA: GUAIANASES;CONSTRUTORA ANASTÁCIO LTDA;43.438.001/0001-25;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE MQUINAS/ EQUIPAMENTOS PESADOS E CAMINHOES BASCULANTES, COM OPERADORES. MOTORISTAS E COMBUSTIVEIS, PARA ATENDER AS NECESSIDADES DESTA PREFEITURA REGIONAL DE GUAIANASES;705.291,60;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 02/2020;7/4/2020;120;6038.2017/0000281-7;001/PR-G/2018;EXTRATO DE ADITAMENTO;16/4/2020
COMPANHIA DE ENGENHARIA DE TRAFEGO;LANLINK SOLUÇÕES COMERCIALIZAÇÃO INFORMÁTICA S/A;19.877.285/0002-52;AQUISIÇÃO DE 791 LICENÇAS DE SOFTWARE WINDOWS 10 UPGRADE;704.448,78;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;62/20;18/12/2020;120;0508/20;42/20;EXTRATO DE CONTRATO / NOTA DE EMPENHO;22/12/2020
SAÚDE;VITAL HOSPITALAR COMERCIAL LTDA;61.610.283/0001-88;Registro de preços para o fornecimento de LUVA CIRÚRGICA LÁTEX DESCARTÁVEL, ESTÉRIL NR 6,0, 6,5 E 7,5.;701.812,80;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;421/2020-SMS.G;13/10/2020;4015;6018.2020/0013161-3;181/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;17/11/2020
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;ASSERVO MULTISSERVIÇOS LTDA.;49.269.236/0001-17;Contratação de empresa para prestação de serviços de limpeza, asseio e conservação predial, desinsetização, desratização, limpeza de caixas d?água e copeiragem, com fornecimento de mão de obra e materiais, conforme especificações e quantidades constantes nos anexos deste Edital;700.000,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;49/SMSUB/COGEL/2019;9/9/2020;12;6012.2019/0003069-3;29/SMSUB/COGEL/2019;EXTRATO DE ADITAMENTO;19/9/2020
SÃO PAULO TRANSPORTE;ROSANO TECNHOLOGY IND COM E SERV EIRELI;02.059.827/0001-04;AQUISIÇÃO DE FITAS COLORIDAS DA MARCA ORIGINAL SMART CH, COM TRANSFERÊNCIA TÉRMICA, PARA PERSONALIZAÇÃO DE CARTÕES COM CIRCUITO INTEGRADO SEM CONTATO ?BILHETE ÚNICO?, UTILIZADOS NO SISTEMA DE BILHETAGEM ELETRÔNICA, CONFORME ESPECIFICAÇÕES TÉCNICAS DO TERMO DE REFERÊNCIA;698.656,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;2020/0286-01-01;7/8/2020;360;2020/0286;009/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;19/8/2020
AUTARQUIA HOSPITALAR MUNICIPAL;;00.029.372/0002-21;NGAQUISIÇÃO DE ARCO CIRÚRGICO PARA HEMODINAMICA, POR EMENDA PARLAMENTAR FEDERAL, PARA O HOSPITAL MUNICIPAL CARMINO CARICCHIO, VINCULADOS À AUTARQUIA HOSPITALAR MUNICIPAL.CL;698.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;132/2019;5/12/2019;360;6110.2018/0007634-1;455/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;8/1/2020
SÃO PAULO TURISMO;Troupe Produções Ltda;66.106.600/0001-47;Contratação de empresa especializada, sob regime de empreitada por preço unitário, para a prestação de serviços de Grupos Geradores de Energia Elétrica com potência mínima de 250KVA, incluindo transporte, mão de obra, materiais e acessórios para seu funcionamento, para atendimento parcelado a diversos eventos por um período de 12 meses, renováveis por iguais ou menores períodos, conforme bases, especificações e condições do Edital e seus Anexos.;697.985,14;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;CCN/GCO 049/18;24/4/2020;360;400/17;093/17;EXTRATO DE ADITAMENTO;9/6/2020
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;GUARANI INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA;45.817.467/0001-67;REGISTRO DE PREÇOS PARA FORNECIMENTO DE GUIAS DE CONCRETO DOS TIPOS: RETA, CURVA E CHAPÉU À PREFEITURA DO MUNICÍPIO DE SÃO PAULO;697.223,50;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;184/SMSUB/COGEL/2019;12/12/2020;240;6012.2019/0004620-4;34/SMSUB/COGEL/2019;EXTRATO DE ADITAMENTO;19/12/2020
SAÚDE;WHITE MARTINS GASES INDUSTRIAIS LTDA;35.820.448/0081-10;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO ININTERRUPTO DE GASES MEDICINAIS PARA O HOSPITAL MUNICIPAL E MATERNIDADE ESCOLA DR. MÁRIO DE MORAES ALTENFELDER SILVA (HMEC);696.589,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;6018.2019/0039116-8;12/3/2020;360;6018.2019/0039116-8;141/2019-HMEC;EXTRATO DE ADITAMENTO;7/7/2020
DESENVOLVIMENTO ECONOMICO E TRABALHO;JOTABE SERVS. TEC. ESPECIALIZADOS LTDA;57.695.058/0001-14;Limpeza, asseio e conservação predial;695.685,48;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;03-2020;26/6/2020;360;6064.2017-0000107-3;002/SMTE/2017;EXTRATO DE ADITAMENTO;18/7/2020
SAÚDE;FONO AUDIOLOGIA LTDA.;65.031.965/0001-97;Contratação de SERVIÇOS DE TRIAGEM AUDITIVA NEONATAL UNIVERSAL - TANU PARA AS MATERNIDADES MUNICIPAIS E SOB GESTÃO MUNICIPAL.;695.684,88;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;053/2016-SMS-1/CONTR;29/4/2020;360;6018.2016/0001306-0;196/2016-SMS.G;EXTRATO DE ADITAMENTO;8/5/2020
SUBPREFEITURA: ITAQUERA;NORTE SUL HIDROTECNOLOGIA E COMÉRCIO LTDA;38.980.710/0001-06;Contratação de empresa para a Prestação de Serviços de Desassoreamento Mecanizado e de Limpeza Manual de Reservatório de Amortecimento de Cheias (Piscinão) Aricanduva V.;693.715,40;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;007/SP-IQ/GAB-AJ/15;31/8/2020;180;2014-0.266.352-4;005/SP-IQ/2014;EXTRATO DE ADITAMENTO;15/9/2020
SUBPREFEITURA: ITAQUERA;NORTE SUL HIDROTECNOLOGIA E COMÉRCIO LTDA;38.980.710/0001-06;Contratação de empresa para a Prestação de Serviços de Desassoreamento Mecanizado e de Limpeza Manual de Reservatório de Amortecimento de Cheias (Piscinão) Aricanduva V.;693.715,40;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;007/SP-IQ/GAB-AJ/201;31/8/2020;180;2014-0.266.352-4;005/SP-IQ/2014;EXTRATO DE ADITAMENTO;5/9/2020
INOVACAO E TECNOLOGIA;SULWORK TECNOLOGIA E SISTEMAS DE INFORMÁTICA LTDA;07.899.023/0001-29;Contratação de empresa especializada em prestação de serviços técnicos de suporte (Service Desk), infraestrutura física, lógica e virtualização do ambiente de tecnologia da informação, remunerado por chamado, sob demanda, objetivando a sustentação de produtos e serviços da Secretaria Municipal de Inovação e Tecnologia, pelo período de 12 meses, podendo ser renovado, no interesse da administração, de acordo com a legislação vigente, conforme especificações técnicas constantes no Termo de Referência, anexo I deste Edital e seus anexos.;692.998,50;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;136/SMIT/2020;4/12/2020;360;6023.2019/0003280-7;33/SMIT/2019;EXTRATO DE ADITAMENTO;5/12/2020
AUTARQUIA HOSPITALAR MUNICIPAL;PA ARQUIVOS LTDA;34.409.656/0001-84;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE GERENCIAMENTO INFORMATIZADO DO ACERVO DE DOCUMENTOS DAS UNIDADES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL INCLUINDO: RECEBIMENTO, COLETA, ARQUIVAMENTO, GUARDA, DIGITALIZAÇÃO, DESARQUIVAMENTO/REARQUIVAMENTO PARA CONSULTA E TRANSFERÊNCIA;692.932,26;PREGÃO PRESENCIAL EXTRATO DE CONTRATO / NOTA DE EMPENHO;1968/2014;15/3/2020;180;2014-0.109.056-3;067/2014;EXTRATO DE CONTRATO / NOTA DE EMPENHO;4/4/2020
SÃO PAULO TURISMO;DMIX Produções e Eventos Eireli EPP;07.727.414/0001-66;OBJETO: Contratação de empresa especializada em prestação de serviço de energização mediante grupo gerador, sob regime de empreitada por preço unitário, para a prestação de serviços de Grupos Geradores de Energia Elétrica com potência mínima de 120KVA, incluindo transporte, mão de obra, materiais e acessórios para seu funcionamento, para atendimento parcelado a diversos eventos por um período de 12 meses, prorrogáveis por iguais ou menores períodos, conforme bases, especificações e condições do Edital e seus Anexos.;689.375,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;006/19;20/2/2020;360;192/18;038/18;EXTRATO DE ADITAMENTO;23/4/2020
COMPANHIA DE ENGENHARIA DE TRAFEGO;IMAGE X DESIGN LTDA;05.548.348/0001-31;PREST.SERV.DE CONFECÇÃO, INSTAL., RETIRADA E REPOSICIONAMENTO DE FAIXAS DE TRÂNSITO E BANNERS EM VIAS PÚBLICAS.;688.436,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;57/17;14/7/2020;360;2032/16;12/17;EXTRATO DE ADITAMENTO;19/8/2020
EDUCAÇÃO;SHAMOU - Esportes Comércio e Serviços LTDA (ME);10.229.266/0001-64;Contratação de empresa para prestação de serviços de monitoramento aquático, com fornecimento de materiais e equipamentos para os Centros Educacionais Unificados (CEUs) pertencentes à SME.;685.664,64;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;27/SME/2020;18/3/2020;360;2015-0.192.337-0;04/SME/2016;EXTRATO DE ADITAMENTO;14/5/2020
EDUCAÇÃO;EMPREITEC Construções e Manutenções LTDA;03.143.862/0001-61;Contratação de empresa especializada para a prestação de serviços de manutenção preventiva e corretiva das cabines primárias de todos os Centros Educacionais Unificados ? CEUs em funcionamento da Secretaria Municipal de Educação.;683.786,40;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;61/SME/2020;4/8/2020;900;6016.2017/0023000-3;26/SME/2017;EXTRATO DE ADITAMENTO;28/8/2020
CULTURA;RP SERVIÇOS DE MANUTENÇÃO E MONTAGEM LTDA;14.466.103/0001-56;Contratação de empresa para prestação de serviços de manutenção predial, abrangendo as manutenções preventivas, corretivas e assistência técnica das instalações elétricas, hidráulicas, de telefonia interna, do sistema de detecção de combate a incêndio e de para-raios, com fornecimento estimado de peças e equipamentos, da Biblioteca Mário de Andrade e da Hemeroteca (edifício anexo da BMA) da Secretaria Municipal de Cultura, conforme especificações constantes do Anexo II deste Edital.;682.626,11;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;002/SMC/BMA/2017;1/11/2019;360;6025.2017/0007033-1;Nº 15-SMC-G-2017;EXTRATO DE ADITAMENTO;16/4/2020
SAÚDE;ABSOLUTA SAÚDE IMPORTAÇÃO E EXPORTAÇÃO E COMÉRCIO;30.082.076/0001-74;Registro de preços para fornecimento de MATERIAL ODONTOLOGICO: DAPPEN PLÁSTICO, FLUORETO DE SÓDIO, RESINA NANO A2.;681.492,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;268/2020-SMS.G;2/7/2020;365;6018.2020/0002013-7;136/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;17/7/2020
SUBPREFEITURA: SÉ;TRAJETO CONSTRUÇÕES E SERVIÇOS LTDA;69.048.254/0001-86;CONTRATAÇÃO DE SERVIÇOS DE APOIO PARA REMOÇÕES;680.468,72;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;012/SP-SÉ/2015;3/12/2020;27;2014-0.276.579-3;2014-0.276.579-3;EXTRATO DE ADITAMENTO;5/12/2020
SAÚDE;PROVAC TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA.;50.400.407/0001-84;Serviços de prestação de limpeza, asseio e conservação predial, visando a obtenção de adequadas condições de salubridade e higiene, com a disponibilização de mão de obra, saneantes domissanitários, materiais e equipamentos para as Unidades Administrativas pertencentes ao Gabinete da Secretaria Municipal da Saúde.;680.367,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;082/2020-SMS-1/CONTR;3/9/2020;360;6018.2019/0017661-5;105/2020-SMS.G;EXTRATO DE ADITAMENTO;5/9/2020
SAÚDE;PROVAC TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA.;50.400.407/0001-84;Serviços de prestação de limpeza, asseio e conservação predial, visando a obtenção de adequadas condições de salubridade e higiene, com a disponibilização de mão de obra, saneantes domissanitários, materiais e equipamentos para as Unidades Administrativas pertencentes ao Gabinete da Secretaria Municipal da Saúde.;680.367,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;082/2020-SMS-1/CONTR;8/7/2020;360;6018.2019/0017661-5;105/2020-SMS.G;EXTRATO DE CONTRATO / NOTA DE EMPENHO;10/7/2020
AUTARQUIA HOSPITALAR MUNICIPAL;RCA PRODUTOS E SERVIÇOS LTDA;69.207.850/0001-61;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA TÉCNICA HOSPITALAR, E CONSERVAÇÃO DO JARDIM (ÁREA VERDE), COM O FORNECIMENTO DE MÃO-DE-OBRA, SANEANTES DOMISSANITÁRIOS, MATERIAIS DE CONSUMO DE HIGIENE, MÁQUINAS E EQUIPAMENTOS DE HIGIENE E LIMPEZA, COLETORES, RECIPIENTES, INSUMOS DE COLETA, VISANDO À OBTENÇÃO DE ADEQUADAS CONDIÇÕES DE SALUBRIDADE, LIMPEZA E HIGIENE NAS DEPENDÊNCIAS DO HOSPITAL MUNICIPAL DOUTOR FERNANDO MAURO PIRES ROCHA E UPA VILA SANTA CATARINA PERTENCENTES A AUTARQUIA HOSPITALAR MUNICIPAL.;680.017,69;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 001/20 TC 051/17;1/4/2020;90;6110.2017/0001967-2;166/2017;EXTRATO DE ADITAMENTO;28/4/2020
SUBPREFEITURA: SÉ;BON GOURMET SERVIÇOS LTDA';08.252.332/0001-75;PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, ASSEIO E CONSERVAÇÃO PREDIAL, visando a obtenção de adequadas condições de salubridade e higiene, com a disponibilização de mão-de-obra, saneantes domissanitários, materiais e equipamentos, nas unidades da Subprefeitura Sé e Conselho Tutelar Sé e Bela Vista gerenciados pela Subprefeitura Sé, pelo prazo de 12 (doze) meses, conforme Anexo I ? Memorial Descritivo.;679.199,76;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;044/SUB-SÉ/2019;18/11/2019;360;6056.2019/0002851-6;022/SUB-SÉ/2019;EXTRATO DE ADITAMENTO;28/11/2020
SUBPREFEITURA: GUAIANASES;JUMPER SEGURANÇA E VIGILANCIA PATRIMONIAL EIRELI;26.886.266/0001-77;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE SEGURANÇA E VIGILANCIA PATRIMONIAL DESARMADA, PARA SUB-G;679.014,56;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 01/2020;29/7/2020;120;6038.2018/0000597-4;13/SUB-G/2018;EXTRATO DE ADITAMENTO;19/12/2020
SAÚDE;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;Registro de preços para o fornecimento de SOLUÇÕES PARENTERAIS DE PEQUENO VOLUME III.;678.798,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;021/2020-SMS.G;23/1/2020;360;6018.2019/0057526-9;284/2019-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;4/2/2020
SAÚDE;PALMILHADO BOOTS INDÚSTRIA E COMÉRCIO LTDA;02.246.382/0001-63;Registro de preços para o fornecimento de BOTA DE COURO PRETO, CANO LONGO.;678.192,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;225/2020-SMS.G;16/6/2020;365;6018.2019/0084411-1;115/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;1/7/2020
SAÚDE;PHO PRODUTOS HOSPITALARES E ODONTOLÓGICOS EIRELI;08.211.767/0001-71;Registro de preços para o fornecimento de BANDAGEM TRIANGULAR, NÃO TECIDO DESCARTÁVEL E PROTETOR, P/EVISCERAÇÃO E QUEIMADOS, PVC, INCOLOR, DESCARTÁVEL, ESTÉRIL.;677.568,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;373/2020-SMS.G;18/9/2020;365;6018.2020/0045656-3;290/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;1/10/2020
SUBPREFEITURA: VILA PRUDENTE;PROSSERVE TERCEIRIZAÇÃO LTDA.;04.503.871/0001-89;Contração de empresa especializada para prestação de serviços de Portaria e Recepção com fornecimento de mão de obra, a serem executados de forma contínua, convencional para a Subprefeitura Vila Prudente, Depósito de Materiais Pesados e Conselho Tutelar Vila Prudente.;677.442,36;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;28/SUB-VP/2019;5/11/2020;360;6060.2019/0001755-9;02/SUB-VP/2019;EXTRATO DE ADITAMENTO;12/11/2020
SAÚDE;JUMPER SEGURANÇA E VIGILÂNCIA PATRIMONIAL EIRELI;26.886.266/0001-77;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA/SEGURANÇA PATRIMONIAL DESARMADA E MONITORAMENTO ELETRÔNICO NAS UNIDADES DAS SUPERVISÕES TÉCNICAS DE SAÚDE DA COORDENADORIA REGIONAL DE SAÚDE SUL;677.247,44;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;001/2019;11/2/2020;360;6018.2018/0039393-2;009/2018-CRS/SUL;EXTRATO DE ADITAMENTO;14/2/2020
SAÚDE;BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA;21.551.379/0008-74;Registro de preços para o fornecimento de AGULHAS, HIPODÉRMICAS DESCARTÁVEIS, ESTÉRIL.;676.741,60;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;535/2020-SMS.G;11/12/2020;365;6018.2020/0058127-9;379/2020-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;29/12/2020
